name,launchDate,audienceCum8,screen8,audienceCum14,screen14,nation,grade,groupGenre,favor,holiday,like,dislike,distCom,director,actor,actorPower8,actorPower14,directorPower8,directorPower14,distPower8,distPower14,launchDay,series,8hol,14hol
오즈의 마법사: 돌아온 도로시,2015-02-12,151957,330,248081,330,northA,All,Animation,2532,0,2669,137,(주)박수엔터테인먼트,"윌 핀,댄 세인트 피에르","레아 미셸,패트릭 스튜어트,휴 댄시,댄 애크로이드",1188246.5,1798010,303914,496162,126829.33333,167576.33333,Thu,0,4,7
이미테이션 게임,2015-02-17,808365,541,1276268,541,europe,15,Drama,6449,1,7140,691,메가박스(주)플러스엠,모튼 틸덤,"베네딕트 컴버배치,키이라 나이틀리,매튜 구드",2427772.4167,3444186.4167,700159,971276.5,693225.23077,986813.84615,Tue,0,5,7
스폰지밥 3D,2015-02-18,232866,357,298917,357,northA,All,Animation,5052,1,5389,337,씨제이이앤엠(주),폴 티비트,"안토니오 반데라스,클랜시 브라운,톰 케니,전태열,이인성,최한",1378401,1775918.8333,232866,298917,965818.5,1527981.32,Wed,0,5,7
그레이의 50가지 그림자,2015-02-26,310207,512,357499,512,northA,19,Drama,5476,0,7027,1551,유니버설픽쳐스인터내셔널 코리아(유),샘 테일러-존슨,"제이미 도넌,다코타 존슨,제니퍼 엘,루크 그림즈",1087584,1254438,310207,357499,708672.65854,965092.63415,Thu,0,2,4
기생수 파트1,2015-02-26,130228,247,178846,247,others,19,Thiller/War,12699,0,15045,2346,판씨네마(주),야마자키 타카시,"소메타니 쇼타,후카츠 에리,하시모토 아이,키타무라 카즈키,아사노 타다노부",653760,894613,182898.5,289487.5,305844.4,464021.6,Thu,1,2,4
백 투 더 비기닝,2015-02-26,229105,423,263966,423,northA,15,SF/Fantasy/Adventure,397,0,479,82,롯데쇼핑㈜롯데엔터테인먼트,딘 이스라엘리트,"조니 웨스턴,소피아 블랙 디엘리아,샘 러너,앨런 에반젤리스타,버지니아 가드너",1145525,1319830,229105,263966,761607.21053,990233.84211,Thu,0,2,4
버드맨,2015-03-05,159746,380,186904,380,northA,19,Comedy,-993,0,2387,3380,이십세기폭스코리아(주),알레한드로 곤잘레스 이냐리투,"마이클 키튼,에드워드 노튼,엠마 스톤,나오미 왓츠",2313053.8333,3318563.5833,640049,928626.5,904472.46429,1334770.9286,Thu,0,2,4
순수의 시대,2015-03-05,411374,546,463616,546,korea,19,History,5656,0,7092,1436,씨제이이앤엠(주),안상훈,"신하균,장혁,강한나,강하늘,박혜준,정현국,권승구,서지오,권지훈,천준호,최아람,양영조,김경애,오하늬,윤민규,이광기,김민수,이상민,이수민,손병호,박갑진,최무성,기주봉,이재용,문영동,조희봉",3907264.1333,5362248.7,411374,463616,965818.5,1527981.32,Thu,0,2,4
헬머니,2015-03-05,335298,322,452470,422,korea,19,Comedy,5680,0,6556,876,(주)넥스트엔터테인먼트월드(NEW),신한솔,"김수미,정만식,김정태,이태란,홍성덕,박승찬,이형빈,강경탁,임재수,박은영,박지영,박혜진,정진혁,채승훈,선현철,손재영,김달선,유병선,유용욱,윤수진,이강철,이규섭,김홍파,한진원,이성민,이승준,이영은,이영은,이은미,김지훈,김원해,이승천,박준금,정혜선,김영옥,길해연,지대한,조영진,장원영,권병길,박충선",8985299.15,12593797,335298,452470,856399.86207,1282562.7931,Thu,0,2,4
살인의뢰,2015-03-12,640815,646,817625,646,korea,19,Action/Criminal,6752,0,8238,1486,씨네그루(주)다우기술,손용호,"김상경,김성균,박성웅,윤승아,조재윤,김의성,기주봉,홍성덕,오대환,이정훈,이진수,박소희,박일우,박혜미,송영창,태욱,김덕순,이다희,이상인,이용출,임종윤",6623180.2333,8639498.4167,640815,817625,281614.25,348647.375,Thu,0,2,4
소셜포비아,2015-03-12,191754,368,241506,368,korea,15,Thiller/War,4889,0,5302,413,CGV아트하우스,홍석재,"변요한,이주승,하윤경,이강욱,류준열,배유람,임지호,엄기성,하상명,전신환,김종수,남문철",4223136.6667,6118434.3333,191754,241506,421651.66667,606124.26667,Thu,0,2,4
